,relevance_r,relevance_g,relevance_b,group,r_0,g_0,b_0,r_1,g_1,b_1,r_2,g_2,b_2,r_3,g_3,b_3,r_4,g_4,b_4,r_5,g_5,b_5,r_6,g_6,b_6,r_7,g_7,b_7,r_8,g_8,b_8,r_9,g_9,b_9
0,0,0,0,0,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1,9,8,6,5,5,7
1,0,0,0,1,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1,9,8,6,5,5,7
2,0,0,0,2,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1,9,8,6,5,5,7
3,0,0,0,3,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1,9,8,6,5,5,7
4,0,0,0,4,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1,9,8,6,5,5,7
5,0,0,0,5,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1,9,8,6,5,5,7
6,0,0,0,6,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1,9,8,6,5,5,7
7,3,5,3,7,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1,9,8,6,5,5,7
8,5,3,5,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1,9,8,6,5,5,7
9,0,0,0,9,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1,9,8,6,5,5,7
10,0,0,0,0,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1,9,8,6
11,0,0,0,1,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1,9,8,6
12,0,0,0,2,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1,9,8,6
13,0,0,0,3,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1,9,8,6
14,5,3,3,4,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1,9,8,6
15,0,0,0,5,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1,9,8,6
16,0,0,0,6,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1,9,8,6
17,3,5,5,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1,9,8,6
18,0,0,0,8,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1,9,8,6
19,0,0,0,9,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1,9,8,6
20,0,0,0,0,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1
21,0,0,0,1,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1
22,0,0,0,2,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1
23,0,0,0,3,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1
24,5,3,3,4,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1
25,0,0,0,5,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1
26,3,3,5,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1
27,3,5,3,7,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1
28,0,0,0,8,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1
